id	title	description	link	image_link	availability	condition	price	brand	gtin	google_product_category	product_type	item_group_id	color	size	gender	age_group	material
glacier-pro-mens-black-m	Glacier Pro Men's Ski Jacket — Black, Size M	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-black-m.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-black.jpg	in stock	new	349.00 EUR	Northridge	8123456700019	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Black	M	male	adult	recycled polyester
glacier-pro-mens-black-l	Glacier Pro Men's Ski Jacket — Black, Size L	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-black-l.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-black.jpg	in stock	new	349.00 EUR	Northridge	8123456700026	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Black	L	male	adult	recycled polyester
glacier-pro-mens-black-xl	Glacier Pro Men's Ski Jacket — Black, Size XL	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-black-xl.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-black.jpg	in stock	new	349.00 EUR	Northridge	8123456700033	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Black	XL	male	adult	recycled polyester
glacier-pro-mens-crimson-m	Glacier Pro Men's Ski Jacket — Crimson, Size M	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-crimson-m.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-crimson.jpg	in stock	new	349.00 EUR	Northridge	8123456700040	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Crimson	M	male	adult	recycled polyester
glacier-pro-mens-crimson-l	Glacier Pro Men's Ski Jacket — Crimson, Size L	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-crimson-l.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-crimson.jpg	in stock	new	349.00 EUR	Northridge	8123456700057	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Crimson	L	male	adult	recycled polyester
glacier-pro-mens-crimson-xl	Glacier Pro Men's Ski Jacket — Crimson, Size XL	Three-layer waterproof shell with taped seams, RECCO reflector, and helmet-compatible hood. Recycled polyester face fabric, 20K/20K waterproof/breathable membrane. Built for resort and sidecountry days.	https://jabadia.github.io/gmc-learning-site/products/glacier-pro-mens-crimson-xl.html	https://jabadia.github.io/gmc-learning-site/images/glacier-pro-mens-crimson.jpg	in stock	new	349.00 EUR	Northridge	8123456700064	5322	Apparel > Outerwear > Ski & Snowboard Jackets	glacier-pro-mens	Crimson	XL	male	adult	recycled polyester
aurora-pro-womens-sapphire-s	Aurora Pro Women's Ski Jacket — Sapphire, Size S	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-sapphire-s.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-sapphire.jpg	in stock	new	329.00 EUR	Northridge	8123456700071	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Sapphire	S	female	adult	recycled polyester
aurora-pro-womens-sapphire-m	Aurora Pro Women's Ski Jacket — Sapphire, Size M	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-sapphire-m.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-sapphire.jpg	in stock	new	329.00 EUR	Northridge	8123456700088	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Sapphire	M	female	adult	recycled polyester
aurora-pro-womens-sapphire-l	Aurora Pro Women's Ski Jacket — Sapphire, Size L	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-sapphire-l.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-sapphire.jpg	in stock	new	329.00 EUR	Northridge	8123456700095	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Sapphire	L	female	adult	recycled polyester
aurora-pro-womens-violet-s	Aurora Pro Women's Ski Jacket — Violet, Size S	Insulated women's jacket with synthetic down equivalent, waterproof shell, and powder skirt. Articulated patterning for freedom of movement on the lift and off-piste.	https://jabadia.github.io/gmc-learning-site/products/aurora-pro-womens-violet-s.html	https://jabadia.github.io/gmc-learning-site/images/aurora-pro-womens-violet.jpg	in stock	new	329.00 EUR	Northridge	8123456700101	5322	Apparel > Outerwear > Ski & Snowboard Jackets	aurora-pro-womens	Violet	S	female	adult	recycled polyester
